SciLifeID;species;sample;treatment.1;treatment;date;plot;plot.1
P7151_396;Spruce;Roots;I_0605;5_year;Early_June;16B;I1
P7151_401;Spruce;Roots;I_0605;5_year;Early_June;16B;I2
P7151_402;Spruce;Roots;I_0605;5_year;Early_June;16B;I3
P7151_403;Spruce;Roots;I_0624;5_year;Late_June;16B;I1
P7151_404;Spruce;Roots;I_0624;5_year;Late_June;16B;I2
P7151_405;Spruce;Roots;I_0624;5_year;Late_June;16B;I3
P7151_406;Spruce;Roots;I_0806;5_year;August;16B;I1
P7151_407;Spruce;Roots;I_0806;5_year;August;16B;I2
P7151_408;Spruce;Roots;I_0806;5_year;August;16B;I3
P7151_409;Spruce;Roots;I_1009;5_year;October;16B;I1
P7151_410;Spruce;Roots;I_1009;5_year;October;16B;I2
P7151_411;Spruce;Roots;I_1009;5_year;October;16B;I3
